Original_stimulus;English_translation;Class;median_CNC;median_ABS;median_GEN;median_FAM;Mean_Relevance;Summed_PPMI
abilità;ability;ABS;2.5;4;4;4.5;2.4139375;79.132075
argomento;topic;ABS;2;4;4;5;2.878973684;113.096151
attributo;attribute;ABS;2;4;4;4;2.639149254;179.689154
circostanza;circumstance;ABS;2;4;4;4;2.263681818;88.502941
cognizione;cognition;ABS;1;5;3;3.5;2.35075;170.828716
critica;criticism;ABS;2;4;3.5;4;3.200104478;113.223954
eguaglianza;equality;ABS;2;5;4;5;2.813532609;208.869643
finzione;pretense;ABS;2;4;3;4;2.768591549;117.605438
immortalità;immortality;ABS;1;5;2;4;2.729317073;98.149912
integrità;integrity;ABS;1;5;3;4;2.736275362;47.810826
interazione;interaction;ABS;2;4;4;4.5;2.494324324;141.639537
legalità;legality;ABS;2;4;3;4;3.134080645;168.2915
libertà;freedom;ABS;2;4;3;5;2.763275862;124.693815
logica;logic;ABS;1;5;3;5;2.559298851;95.761677
percezione;perception;ABS;2;5;4;5;2.652084337;181.665171
realtà;reality;ABS;3;4;4;5;2.672242424;91.60478
vendetta;revenge;ABS;2;4;3;5;2.931875;127.708967
animale;animal;SUP;5;1;4;5;2.618465909;110.675025
arma;weapon;SUP;5;1.5;3;5;3.429662651;207.582921
attrezzatura;instrumentality;SUP;5;1;4;4.5;2.298305556;105.598596
dispositivo;device;SUP;4;2;4;5;2.744661538;126.180348
fauna;fauna;SUP;4;2;4;4;2.692529412;117.150416
felino;feline;SUP;5;1;3;5;3.248054945;291.454072
giocattolo;toy;SUP;5;1;3;5;2.945084337;220.997804
insetto;insect;SUP;5;1;3;5;2.743858824;168.333017
legume;legume;SUP;5;1;3;5;2.594673684;231.382772
merce;commodity;SUP;4;2;4;5;2.81641573;297.21409
rettile;reptile;SUP;5;1;3;4;4.020404255;194.530881
roditore;rodent;SUP;5;1;3;4;3.090796875;215.759115
strumento;instrument;SUP;4;2;5;5;3.191507692;162.152165
uccello;bird;SUP;5;1;3;5;3.427164706;291.198634
utensile;utensil;SUP;5;1;4;5;2.552532258;130.896507
veicolo;vehicle;SUP;5;1;3;5;2.9806;245.051376
vertebrato;vertebrate;SUP;4.5;1;4;4;2.879671642;113.89993
arancia;orange;CNC;5;1;1;5;4.451646154;271.768823
cannella;cinnamon;CNC;5;1;1;5;3.216090909;269.923529
cappotto;coat;CNC;5;1;2;5;3.469101449;248.75191
cintura;belt;CNC;5;1;2;5;2.94007767;321.843268
girasole;sunflower;CNC;5;1;1;5;4.134984127;302.723961
gonna;skirt;CNC;5;1;2;5;3.459423729;221.069943
lavanda;lavender;CNC;5;1;1;5;3.510705128;322.462891
orchidea;orchid;CNC;5;1;1;5;3.185155172;178.426618
padella;pan;CNC;5;1;1;5;3.205931507;227.514631
papavero;poppy;CNC;5;1;1;4.5;3.7857;215.876444
rossetto;lipstick;CNC;5;1;1;5;3.185283951;243.067447
scarpa;shoe;CNC;5;1;2;5;2.881911111;240.279919
tovaglia;tablecloth;CNC;5;1;1;5;3.427909091;300.271704
tovagliolo;napkin;CNC;5;1;1;5;3.2845;278.766393
villa;villa;CNC;5;1;2;5;2.905591837;263.321194
vino;wine;CNC;5;1;2;5;3.398762376;274.97911
zucchero;sugar;CNC;5;1;2;5;3.48272093;223.783916
